q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.61,868310.0,3710101398.936627,2106123745.5629363,261220056.00000003,26422.0,6.0,8.0,0.1250319480895996,0.0781538486480712,1.1648576259613037,0.0337526798248291,0.0570812225341796,
stats.62,109961.0,933489565.4133182,458353155.6320426,60765192.00000014,7855.0,6.0,8.0,0.1069357395172119,0.068291425704956,0.8369560241699219,0.0265710353851318,0.0333929061889648,
stats.63,8893.0,66439339.756564006,9941256.000000017,713184.000000002,1596.0,6.0,8.0,0.1027970314025878,0.0825624465942382,1.54308819770813,0.0448997020721435,0.048633337020874,
stats.64,692609.0,849346549.6205491,246934515.97309464,34210631.48584758,89807.0,6.0,8.0,0.2437431812286377,0.3521065711975097,3.1970555782318115,0.2852160930633545,0.1755208969116211,
stats.65,33955.0,387775913.4941496,201727080.8363565,27575047.999999985,9611.0,6.0,8.0,0.1908614635467529,0.3605051040649414,2.110950231552124,0.2667708396911621,0.0400190353393554,
stats.66,82213.0,1720235.0125103514,668781.0000000001,98083.99999999996,56742.0,6.0,8.0,0.1735434532165527,0.1865019798278808,3.603133201599121,0.1526875495910644,0.0690288543701171,
stats.67,469.0,46769680.138148464,11169595.267827278,935658.4105435456,369.0,6.0,8.0,0.1816868782043457,0.3296639919281006,1.9063143730163568,0.2489809989929199,0.0384943485260009,
stats.68,1112747282.0,141834674261.2947,112575544705.8676,18137520384.00008,1692867.0,6.0,8.0,0.2306985855102539,0.2104468345642089,9.515053033828735,0.1671948432922363,4.412743806838989,
stats.69,107654752.0,114020368834.66785,78441837680.31935,7232320512.000013,816803.0,6.0,8.0,0.2496273517608642,0.1711218357086181,5.992198705673218,0.1344532966613769,1.213728427886963,
stats.70,80052528.0,85626569214.8998,59391331969.09802,9698543616.00002,586237.0,6.0,8.0,0.2398278713226318,0.1887934207916259,5.466109991073608,0.1578638553619384,1.2738211154937744,
stats.71,58623592.0,2792899608.938496,2026518767.7700903,237441480.0000004,993165.0,6.0,8.0,0.2047967910766601,0.1919848918914795,6.249112844467163,0.154984712600708,0.7972912788391113,
