q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobrange.238,3,4,452605.8447020172,0.4398486614227295,1229.9999999999995,0.1721324920654297,58,0.10903573036193848,870.0,0.03957509994506836,
jobrange.239,3,4,37544276.41620356,2.1147193908691406,18761583.999999985,0.9590499401092529,6173044,0.7564735412597656,11533516.0,0.14353442192077637,
jobrange.240,3,4,88414.73949576673,0.44115209579467773,4.999999999999999,0.19809889793395996,2,0.14192748069763184,2.0,0.03733539581298828,
jobrange.241,3,4,1633022.7801955265,0.8245692253112793,63508.122047798985,0.4288959503173828,2363,0.2725546360015869,5805.0,0.04322457313537598,
jobrange.242,3,4,5120216.345889117,0.6113851070404053,2577068.8241168405,0.22290730476379395,149282,0.20718073844909668,500636.0,0.07585382461547852,
jobrange.243,3,4,3246640.295319519,0.7207694053649902,1031757.8697741934,0.47057557106018066,171931,0.31081438064575195,181755.0,0.045314788818359375,
jobrange.244,3,4,3949224.570681493,0.5383665561676025,2261885.6607457064,0.2009754180908203,129884,0.20920014381408691,1104257.0,0.07848525047302246,
jobrange.245,3,4,59149637.86265724,2.160731077194214,45389532.999999985,0.9339187145233154,2775908,0.8091976642608643,18137186.0,0.12288069725036621,
jobrange.246,3,4,10115522.643672436,1.2440965175628662,517758.6728383413,0.7061243057250977,5779,0.33189845085144043,6667.0,0.058362483978271484,
jobrange.247,3,4,59149637.86265724,2.167811155319214,45389532.999999985,0.8709714412689209,2860580,0.6038293838500977,19639321.0,0.1178889274597168,
jobrange.248,3,4,3187027.9177785874,0.465806245803833,243278.69899705652,0.19597649574279785,7820,0.12322449684143066,50106.0,0.04440498352050781,
jobrange.249,3,4,1602234.6532012373,0.6028902530670166,434221.0,0.23829865455627441,27196,0.25332188606262207,89274.0,0.07139420509338379,
jobrange.250,3,4,240497.71192755064,0.5541212558746338,1439.999999999999,0.18911981582641602,68,0.21140241622924805,68.0,0.07254624366760254,
jobrange.251,3,4,1049352.5887397595,2.628957986831665,2376.000000000001,0.9717996120452881,120,0.46602964401245117,292.0,0.05112099647521973,
jobrange.252,3,4,59149637.86265724,2.0625054836273193,39671110.17312978,0.8244597911834717,1010158,0.5087168216705322,6454460.0,0.07430744171142578,
jobrange.253,3,4,319349.95532518416,1.0034613609313965,9240.000000000011,0.5789716243743896,117,0.29034423828125,118.0,0.03656005859375,
jobrange.254,3,4,8616827.889688488,0.9587492942810059,668779.0005888266,0.5452859401702881,13487,0.28592586517333984,62331.0,0.05668187141418457,
jobrange.255,3,4,59149637.86265724,1.9817628860473633,45389532.999999985,0.8674139976501465,2261740,0.6081173419952393,20529008.0,0.13683319091796875,
jobrange.256,3,4,5075210.170655133,0.3303639888763428,157594.61989159297,0.20016169548034668,1375,0.13321280479431152,1733.0,0.04756355285644531,
