q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t
joblight.56,5,6,239298157.77376953,1.5670928955078125,188313800.14301887,1.099163293838501,504627,1.1380391120910645,8274575,0.08415961265563965
joblight.57,5,6,239298157.77376953,1.586456298828125,162872228.10408172,1.0705451965332031,339805,1.0822501182556152,5060602,0.07720088958740234
joblight.58,5,6,121569783194.15839,3.8366923332214355,115498327928.72603,1.65329909324646,423462,1.095466136932373,1352809527,29.647292852401733
joblight.59,5,6,938654775.916515,2.8741049766540527,22516380.00000004,1.235722303390503,859,0.965822696685791,191935,0.05653548240661621
joblight.60,5,6,121569783194.159,4.268660306930542,115498327928.72603,2.4965221881866455,2801527,3.8456523418426514,9536942547,88.27734041213989
joblight.61,5,6,2601448046.127765,8.893326997756958,2005238178.0096471,2.2201759815216064,9109751,3.159205675125122,492794165,1.4983725547790527
joblight.62,5,6,2601448046.127765,8.159776210784912,1488080231.9215143,1.7484371662139893,490903,1.2868711948394775,32345205,0.5718073844909668
joblight.63,4,5,521051967.2990677,7.817646741867065,215700852.99999976,1.449068307876587,2593149,1.050154447555542,81483639,0.4849119186401367
joblight.64,4,5,521051967.2990677,7.808989763259888,215700852.99999976,1.4326171875,1665934,1.011385202407837,51275160,0.39661622047424316
joblight.65,4,5,24627058.35030377,1.9456913471221924,8281152.739564222,0.8830151557922363,7633,0.5160658359527588,17737,0.04110574722290039
joblight.66,5,6,239298157.77376953,1.6021418571472168,191230454.89044043,1.1388211250305176,1602702,1.5754594802856445,26715691,0.18605780601501465
joblight.67,5,6,239298157.77376953,1.4706671237945557,191230454.89044043,1.068631649017334,970737,1.2681055068969727,15811437,0.1540851593017578
joblight.68,5,6,293344647.07643825,3.3085880279541016,21008154.000000034,1.3979427814483643,6283,1.2552268505096436,1065694,0.1587073802947998
joblight.69,5,6,293344647.07643825,2.6489193439483643,21008154.000000034,1.241234302520752,1979,0.7756590843200684,266370,0.09974551200866699
joblight.70,5,6,2601448046.127765,8.851388216018677,2005238178.0096471,1.9642391204833984,3706054,2.1104493141174316,258339586,1.1960880756378174
